~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'sqlservr.exe', 'pid': 8476, 'username': None}
0{'name': 'AggregatorHost.exe', 'pid': 8500, 'username': None}
0{'name': 'sqlceip.exe', 'pid': 8524, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 8592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 8856, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 8980, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 9240, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'CSFalconContainer.exe', 'pid': 9264, 'username': None}
0{'name': 'svchost.exe', 'pid': 9436, 'username': None}
0{'name': 'CSFalconContainer.exe', 'pid': 9480, 'username': None}
0{'name': 'GoToAssistCustomerAttendedApp.exe', 'pid': 9484, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 9512, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedge.exe', 'pid': 9608, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 9632, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'tphkload.exe', 'pid': 9756, 'username': None}
0{'name': 'chrome.exe', 'pid': 9872, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 9892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'kvoop.exe', 'pid': 10228, 'username': None}
0{'name': 'DAX3API.exe', 'pid': 10232, 'username': None}
0{'name': 'amdpmfserviceuser.exe', 'pid': 10548, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'CSFalconContainer.exe', 'pid': 10560, 'username': None}
0{'name': 'chrome.exe', 'pid': 10576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'GoToAssistCrashHandler.exe', 'pid': 10652, 'username': None}
0{'name': 'GoToAssistCrashHandler.exe', 'pid': 10848, 'username': None}
0{'name': 'WmiPrvSE.exe', 'pid': 10896, 'username': None}
0{'name': 'svchost.exe', 'pid': 11176, 'username': None}
0{'name': 'msedge.exe', 'pid': 12076, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'LockApp.exe', 'pid': 12112, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 12120, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 12280, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'GoToAssistRemoteControl.exe', 'pid': 12500, 'username': None}
0{'name': 'chrome.exe', 'pid': 12716, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RtkAudUService64.exe', 'pid': 12868, 'username': None}
0{'name': 'GoToAssistCrashHandler.exe', 'pid': 13064, 'username': None}
0{'name': 'svchost.exe', 'pid': 13084, 'username': None}
0{'name': 'SecurityHealthService.exe', 'pid': 13268, 'username': None}
0{'name': 'taskhostw.exe', 'pid': 13436, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 13996, 'username': 'QAMR-ACCOUNTS\\u1203282'}
