~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:23 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
272{'pid': 19884, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
273{'pid': 19984, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
274{'pid': 20028, 'name': 'conhost.exe', 'username': None}
275{'pid': 20044, 'name': 'LenovoVantage-(VantageCoreAddin).exe', 'username': None}
276{'pid': 20096, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
277{'pid': 20144, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
278{'pid': 20404, 'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
279{'pid': 20476, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
280{'pid': 20828, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
281{'pid': 20848, 'name': 'UserOOBEBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
282{'pid': 21292, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
283{'pid': 21300, 'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
284{'pid': 21312, 'name': 'AppProvisioningPlugin.exe', 'username': None}
285{'pid': 21388, 'name': 'audiodg.exe', 'username': None}
286{'pid': 21404, 'name': 'nxtbsm.exe', 'username': None}
287{'pid': 21428, 'name': 'nxtcod.exe', 'username': None}
288{'pid': 21552, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
289{'pid': 21624, 'name': 'AMDRSServ.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
290{'pid': 22368, 'name': 'Notepad.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
291{'pid': 22444, 'name': 'cncmd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
292{'pid': 22644, 'name': 'svchost.exe', 'username': None}
293{'pid': 22664, 'name': 'concentr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
294{'pid': 22720, 'name': 'wfcrun32.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
295{'pid': 22788, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
296{'pid': 22824, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
297{'pid': 22908, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
298{'pid': 22956, 'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
299{'pid': 23012, 'name': 'kvoop.exe', 'username': None}
300{'pid': 23092, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
301{'pid': 23188, 'name': 'RdrCEF.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
302{'pid': 23328, 'name': 'ONENOTE.EXE', 'username': 'QAMR-ACCOUNTS\\u1203282'}
303{'pid': 23360, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
304{'pid': 23532, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
305{'pid': 23704, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
306{'pid': 24312, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
307{'pid': 24476, 'name': 'RadeonSoftware.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
308{'pid': 25032, 'name': 'svchost.exe', 'username': None}
309{'pid': 25152, 'name': 'svchost.exe', 'username': None}
310{'pid': 25300, 'name': 'Microsoft.Management.Services.IntuneWindowsAgent.exe', 'username': None}
311{'pid': 25464, 'name': 'AnalyticsSrv.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
312{'pid': 25472, 'name': 'amdow.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
313{'pid': 25480, 'name': 'AMDRSSrcExt.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
314{'pid': 25620, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
