~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:17 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
159{'username': None, 'name': 'MsSense.exe', 'pid': 8072}
160{'username': None, 'name': 'GoodixSessionService.exe', 'pid': 8092}
161{'username': None, 'name': 'svchost.exe', 'pid': 8124}
162{'username': None, 'name': 'GoToAssistProcessChecker.exe', 'pid': 8156}
163{'username': None, 'name': 'fppsvc.exe', 'pid': 8168}
164{'username': None, 'name': 'sqlwriter.exe', 'pid': 8176}
165{'username': None, 'name': 'MsMpEng.exe', 'pid': 8240}
166{'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 8300}
167{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 8400}
168{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SelfServicePlugin.exe', 'pid': 8408}
169{'username': None, 'name': 'AppVClient.exe', 'pid': 8440}
170{'username': None, 'name': 'sqlservr.exe', 'pid': 8476}
171{'username': None, 'name': 'AggregatorHost.exe', 'pid': 8500}
172{'username': None, 'name': 'sqlceip.exe', 'pid': 8524}
173{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8592}
174{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 8856}
175{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 8980}
176{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 9240}
177{'username': None, 'name': 'CSFalconContainer.exe', 'pid': 9264}
178{'username': None, 'name': 'svchost.exe', 'pid': 9436}
179{'username': None, 'name': 'CSFalconContainer.exe', 'pid': 9480}
180{'username': None, 'name': 'GoToAssistCustomerAttendedApp.exe', 'pid': 9484}
181{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 9512}
182{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 9608}
183{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 9632}
184{'username': None, 'name': 'tphkload.exe', 'pid': 9756}
185{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 9872}
186{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 9892}
187{'username': None, 'name': 'kvoop.exe', 'pid': 10228}
188{'username': None, 'name': 'DAX3API.exe', 'pid': 10232}
189{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'amdpmfserviceuser.exe', 'pid': 10548}
190{'username': None, 'name': 'CSFalconContainer.exe', 'pid': 10560}
191{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 10576}
192{'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 10652}
193{'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 10848}
194{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 10896}
195{'username': None, 'name': 'svchost.exe', 'pid': 11176}
196{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 12076}
197{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'LockApp.exe', 'pid': 12112}
198{'username': None, 'name': 'svchost.exe', 'pid': 12120}
199{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 12280}
200{'username': None, 'name': 'GoToAssistRemoteControl.exe', 'pid': 12500}
201{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 12716}
202{'username': None, 'name': 'RtkAudUService64.exe', 'pid': 12868}
203{'username': None, 'name': 'GoToAssistCrashHandler.exe', 'pid': 13064}
204{'username': None, 'name': 'svchost.exe', 'pid': 13084}
205{'username': None, 'name': 'SecurityHealthService.exe', 'pid': 13268}
206{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe', 'pid': 13436}
207{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 13996}
208{'username': None, 'name': 'svchost.exe', 'pid': 14012}
209{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'EPDCtrl.exe', 'pid': 14464}
210{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 14496}
211{'username': None, 'name': 'svchost.exe', 'pid': 14696}
212{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 14704}
213{'username': None, 'name': 'vds.exe', 'pid': 14764}
214{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'tposd.exe', 'pid': 14816}
215{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15132}
216{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15136}
217{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'sihost.exe', 'pid': 15572}
218{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15592}
219{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15628}
220{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15636}
221{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15680}
222{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15756}
223{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe', 'pid': 15808}
224{'username': None, 'name': 'shtctky.exe', 'pid': 15908}
225{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PowerMgr.exe', 'pid': 15916}
226{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PanGPA.exe', 'pid': 16096}
227{'username': None, 'name': 'Lenovo.Modern.ImController.exe', 'pid': 16196}
228{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AppVStreamingUX.exe', 'pid': 16212}
229{'username': None, 'name': 'svchost.exe', 'pid': 16224}
230{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 16428}
231{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 16472}
232{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCustomerAttendedAppUi.exe', 'pid': 16588}
233{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 17036}
234{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RtkAudUService64.exe', 'pid': 17140}
235{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 17340}
236{'username': None, 'name': 'svchost.exe', 'pid': 17348}
237{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtusm.exe', 'pid': 17416}
238{'username': None, 'name': 'kvoop.exe', 'pid': 17424}
239{'username': None, 'name': 'wepsvc.exe', 'pid': 17516}
240{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'WidgetService.exe', 'pid': 17576}
241{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 17596}
242{'username': None, 'name': 'svchost.exe', 'pid': 17660}
243{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtray.exe', 'pid': 17676}
244{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCrashHandler.exe', 'pid': 18032}
245{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18072}
246{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 18104}
247{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ApplicationFrameHost.exe', 'pid': 18164}
248{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18176}
249{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 18208}
250{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Microsoft.Notes.exe', 'pid': 18232}
251{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 18592}
252{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': '1E.Client.Interaction.exe', 'pid': 18660}
253{'username': None, 'name': 'uhssvc.exe', 'pid': 18752}
254{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 18764}
255{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Widgets.exe', 'pid': 18812}
256{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 18864}
257{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18896}
258{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 19072}
259{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe', 'pid': 19096}
260{'username': None, 'name': 'conhost.exe', 'pid': 19168}
261{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 19188}
262{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'LocationNotificationWindows.exe', 'pid': 19196}
263{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'snipaste.exe', 'pid': 19248}
264{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 19320}
265{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 19360}
266{'username': None, 'name': 'svchost.exe', 'pid': 19448}
267{'username': None, 'name': 'kvoop.exe', 'pid': 19544}
268{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 19680}
269{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 19872}
270{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ctfmon.exe', 'pid': 19876}
271{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 19884}
272{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 19984}
273{'username': None, 'name': 'conhost.exe', 'pid': 20028}
274{'username': None, 'name': 'LenovoVantage-(VantageCoreAddin).exe', 'pid': 20044}
275{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 20096}
