@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'AppVClient.exe', 'username': None, 'pid': 8100, 'vms': 20.16796875}
{'name': 'UDClientService.exe', 'username': None, 'pid': 8116, 'vms': 60.171875}
{'name': 'pc-print.exe', 'username': None, 'pid': 8124, 'vms': 4.29296875}
{'name': 'SelfServicePlugin.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8132, 'vms': 17.80859375}
{'name': 'GoodixSessionService.exe', 'username': None, 'pid': 8144, 'vms': 1.12109375}
{'name': 'LITSSvc.exe', 'username': None, 'pid': 8152, 'vms': 2.28125}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8172, 'vms': 50.03515625}
{'name': 'sqlservr.exe', 'username': None, 'pid': 8336, 'vms': 577.4921875}
{'name': 'sqlceip.exe', 'username': None, 'pid': 8388, 'vms': 35.9921875}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8512, 'vms': 15.8203125}
{'name': 'tphkload.exe', 'username': None, 'pid': 8756, 'vms': 3.5390625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8812, 'vms': 40.2890625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8936, 'vms': 125.890625}
{'name': 'RadeonSoftware.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9172, 'vms': 288.70703125}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9200, 'vms': 14.25}
{'name': 'F1EUI.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9356, 'vms': 3.5}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 9488, 'vms': 11.6015625}
{'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9800, 'vms': 2.04296875}
{'name': 'pc-print-deploy-client.exe', 'username': None, 'pid': 9876, 'vms': 17.6171875}
{'name': 'conhost.exe', 'username': None, 'pid': 10160, 'vms': 5.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 10280, 'vms': 5.7734375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10292, 'vms': 38.4375}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 10304, 'vms': 11.5078125}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 10456, 'vms': 8.546875}
{'name': 'sihost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10764, 'vms': 8.27734375}
{'name': 'svchost.exe', 'username': None, 'pid': 10784, 'vms': 5.6640625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10884, 'vms': 33.55078125}
{'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10940, 'vms': 5.23046875}
{'name': 'kvoop.exe', 'username': None, 'pid': 10976, 'vms': 2.62890625}
{'name': 'GoToAssistLoggerProcess.exe', 'username': None, 'pid': 11008, 'vms': 11.69140625}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11132, 'vms': 24.23828125}
{'name': 'EndPointClassifier.exe', 'username': None, 'pid': 11180, 'vms': 301.734375}
{'name': 'SenseTVM.exe', 'username': None, 'pid': 11196, 'vms': 3.3671875}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 11300, 'vms': 11.5078125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 11392, 'vms': 3.76171875}
