@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'wepsvc.exe', 'username': None, 'pid': 7788, 'vms': 19.09765625}
{'name': 'UpdaterService.exe', 'username': None, 'pid': 7796, 'vms': 18.20703125}
{'name': 'LenovoVantageService.exe', 'username': None, 'pid': 7804, 'vms': 58.5546875}
{'name': 'ibmpmsvc.exe', 'username': None, 'pid': 7812, 'vms': 2.02734375}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 7820, 'vms': 5.1953125}
{'name': 'LenovoVisionService.exe', 'username': None, 'pid': 7828, 'vms': 6.47265625}
{'name': 'MsSense.exe', 'username': None, 'pid': 7836, 'vms': 125.46484375}
{'name': 'pc-print-deploy-client.exe', 'username': None, 'pid': 7844, 'vms': 14.91015625}
{'name': 'snowagent.exe', 'username': None, 'pid': 7868, 'vms': 7.375}
{'name': 'PanGPS.exe', 'username': None, 'pid': 7880, 'vms': 16.0234375}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 7888, 'vms': 229.42578125}
{'name': 'svchost.exe', 'username': None, 'pid': 7896, 'vms': 2.1640625}
{'name': 'FusionAPI.exe', 'username': None, 'pid': 7904, 'vms': 1.9765625}
{'name': 'svchost.exe', 'username': None, 'pid': 7912, 'vms': 42.03125}
{'name': 'GoToAssistProcessChecker.exe', 'username': None, 'pid': 7920, 'vms': 10.55859375}
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 7940, 'vms': 9.9375}
{'name': 'svchost.exe', 'username': None, 'pid': 7968, 'vms': 20.7421875}
{'name': 'fppsvc.exe', 'username': None, 'pid': 7976, 'vms': 36.2734375}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 7984, 'vms': 2.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 7992, 'vms': 4.5234375}
{'name': 'DAX3API.exe', 'username': None, 'pid': 8008, 'vms': 6.6953125}
{'name': 'SmartStandby.exe', 'username': None, 'pid': 8016, 'vms': 1.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 8024, 'vms': 1.51171875}
{'name': 'CSFalconService.exe', 'username': None, 'pid': 8040, 'vms': 154.11328125}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 8080, 'vms': 36.5859375}
{'name': 'AppVClient.exe', 'username': None, 'pid': 8100, 'vms': 20.1953125}
{'name': 'UDClientService.exe', 'username': None, 'pid': 8116, 'vms': 59.78125}
{'name': 'pc-print.exe', 'username': None, 'pid': 8124, 'vms': 4.29296875}
{'name': 'SelfServicePlugin.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8132, 'vms': 17.80859375}
{'name': 'GoodixSessionService.exe', 'username': None, 'pid': 8144, 'vms': 1.12109375}
{'name': 'LITSSvc.exe', 'username': None, 'pid': 8152, 'vms': 2.28125}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8172, 'vms': 50.02734375}
{'name': 'sqlservr.exe', 'username': None, 'pid': 8336, 'vms': 561.4453125}
{'name': 'sqlceip.exe', 'username': None, 'pid': 8388, 'vms': 35.953125}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8512, 'vms': 15.8203125}
{'name': 'tphkload.exe', 'username': None, 'pid': 8756, 'vms': 3.52734375}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8812, 'vms': 40.2890625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8936, 'vms': 124.92578125}
{'name': 'RadeonSoftware.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9172, 'vms': 287.97265625}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9200, 'vms': 14.38671875}
{'name': 'F1EUI.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9356, 'vms': 3.5}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 9488, 'vms': 13.08203125}
{'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 9800, 'vms': 2.04296875}
