~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:58:09 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
203) {'pid': 12868, 'username': None, 'name': 'RtkAudUService64.exe'}
204) {'pid': 13064, 'username': None, 'name': 'GoToAssistCrashHandler.exe'}
205) {'pid': 13084, 'username': None, 'name': 'svchost.exe'}
206) {'pid': 13268, 'username': None, 'name': 'SecurityHealthService.exe'}
207) {'pid': 13436, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe'}
208) {'pid': 13996, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
209) {'pid': 14012, 'username': None, 'name': 'svchost.exe'}
210) {'pid': 14464, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'EPDCtrl.exe'}
211) {'pid': 14496, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
212) {'pid': 14680, 'username': None, 'name': 'SearchProtocolHost.exe'}
213) {'pid': 14696, 'username': None, 'name': 'svchost.exe'}
214) {'pid': 14704, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
215) {'pid': 14764, 'username': None, 'name': 'vds.exe'}
216) {'pid': 14816, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'tposd.exe'}
217) {'pid': 15132, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
218) {'pid': 15136, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
219) {'pid': 15572, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'sihost.exe'}
220) {'pid': 15592, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
221) {'pid': 15628, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
222) {'pid': 15636, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
223) {'pid': 15680, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
224) {'pid': 15756, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
225) {'pid': 15808, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe'}
226) {'pid': 15908, 'username': None, 'name': 'shtctky.exe'}
227) {'pid': 15916, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PowerMgr.exe'}
228) {'pid': 16096, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PanGPA.exe'}
229) {'pid': 16196, 'username': None, 'name': 'Lenovo.Modern.ImController.exe'}
230) {'pid': 16212, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AppVStreamingUX.exe'}
231) {'pid': 16224, 'username': None, 'name': 'svchost.exe'}
232) {'pid': 16396, 'username': None, 'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe'}
233) {'pid': 16428, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe'}
234) {'pid': 16472, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
235) {'pid': 16588, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCustomerAttendedAppUi.exe'}
236) {'pid': 17036, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
237) {'pid': 17140, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RtkAudUService64.exe'}
238) {'pid': 17340, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe'}
239) {'pid': 17348, 'username': None, 'name': 'svchost.exe'}
240) {'pid': 17416, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtusm.exe'}
241) {'pid': 17424, 'username': None, 'name': 'kvoop.exe'}
242) {'pid': 17516, 'username': None, 'name': 'wepsvc.exe'}
243) {'pid': 17576, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'WidgetService.exe'}
244) {'pid': 17596, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
245) {'pid': 17660, 'username': None, 'name': 'svchost.exe'}
246) {'pid': 17676, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtray.exe'}
247) {'pid': 18032, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCrashHandler.exe'}
248) {'pid': 18072, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
249) {'pid': 18104, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
250) {'pid': 18164, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ApplicationFrameHost.exe'}
