~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvallous Infosystem ~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 )  {'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
193 )  {'name': 'amdpmfserviceuser.exe', 'pid': 10548, 'username': 'QAMR-ACCOUNTS\\u1203282'}
194 )  {'name': 'CSFalconContainer.exe', 'pid': 10560, 'username': None}
195 )  {'name': 'chrome.exe', 'pid': 10576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
196 )  {'name': 'GoToAssistCrashHandler.exe', 'pid': 10652, 'username': None}
197 )  {'name': 'GoToAssistCrashHandler.exe', 'pid': 10848, 'username': None}
198 )  {'name': 'WmiPrvSE.exe', 'pid': 10896, 'username': None}
199 )  {'name': 'svchost.exe', 'pid': 11176, 'username': None}
200 )  {'name': 'msedgewebview2.exe', 'pid': 11196, 'username': 'QAMR-ACCOUNTS\\u1203282'}
201 )  {'name': 'msedge.exe', 'pid': 11712, 'username': 'QAMR-ACCOUNTS\\u1203282'}
202 )  {'name': 'LockApp.exe', 'pid': 12112, 'username': 'QAMR-ACCOUNTS\\u1203282'}
203 )  {'name': 'svchost.exe', 'pid': 12120, 'username': None}
204 )  {'name': 'msedgewebview2.exe', 'pid': 12280, 'username': 'QAMR-ACCOUNTS\\u1203282'}
205 )  {'name': 'GoToAssistRemoteControl.exe', 'pid': 12500, 'username': None}
206 )  {'name': 'chrome.exe', 'pid': 12716, 'username': 'QAMR-ACCOUNTS\\u1203282'}
207 )  {'name': 'RtkAudUService64.exe', 'pid': 12868, 'username': None}
208 )  {'name': 'GoToAssistCrashHandler.exe', 'pid': 13064, 'username': None}
209 )  {'name': 'svchost.exe', 'pid': 13084, 'username': None}
210 )  {'name': 'SecurityHealthService.exe', 'pid': 13268, 'username': None}
211 )  {'name': 'taskhostw.exe', 'pid': 13436, 'username': 'QAMR-ACCOUNTS\\u1203282'}
212 )  {'name': 'msedge.exe', 'pid': 13516, 'username': 'QAMR-ACCOUNTS\\u1203282'}
213 )  {'name': 'smartscreen.exe', 'pid': 13568, 'username': 'QAMR-ACCOUNTS\\u1203282'}
214 )  {'name': 'chrome.exe', 'pid': 13996, 'username': 'QAMR-ACCOUNTS\\u1203282'}
215 )  {'name': 'svchost.exe', 'pid': 14012, 'username': None}
216 )  {'name': 'EPDCtrl.exe', 'pid': 14464, 'username': 'QAMR-ACCOUNTS\\u1203282'}
217 )  {'name': 'msedgewebview2.exe', 'pid': 14496, 'username': 'QAMR-ACCOUNTS\\u1203282'}
218 )  {'name': 'msedgewebview2.exe', 'pid': 14620, 'username': 'QAMR-ACCOUNTS\\u1203282'}
219 )  {'name': 'svchost.exe', 'pid': 14696, 'username': None}
220 )  {'name': 'msedgewebview2.exe', 'pid': 14704, 'username': 'QAMR-ACCOUNTS\\u1203282'}
221 )  {'name': 'WmiPrvSE.exe', 'pid': 14724, 'username': None}
222 )  {'name': 'vds.exe', 'pid': 14764, 'username': None}
223 )  {'name': 'tposd.exe', 'pid': 14816, 'username': 'QAMR-ACCOUNTS\\u1203282'}
224 )  {'name': 'msedgewebview2.exe', 'pid': 14856, 'username': 'QAMR-ACCOUNTS\\u1203282'}
225 )  {'name': 'msedgewebview2.exe', 'pid': 15132, 'username': 'QAMR-ACCOUNTS\\u1203282'}
226 )  {'name': 'msedgewebview2.exe', 'pid': 15136, 'username': 'QAMR-ACCOUNTS\\u1203282'}
227 )  {'name': 'sihost.exe', 'pid': 15572, 'username': 'QAMR-ACCOUNTS\\u1203282'}
228 )  {'name': 'msedgewebview2.exe', 'pid': 15592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
229 )  {'name': 'svchost.exe', 'pid': 15628, 'username': 'QAMR-ACCOUNTS\\u1203282'}
230 )  {'name': 'svchost.exe', 'pid': 15636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
231 )  {'name': 'svchost.exe', 'pid': 15680, 'username': 'QAMR-ACCOUNTS\\u1203282'}
232 )  {'name': 'svchost.exe', 'pid': 15756, 'username': 'QAMR-ACCOUNTS\\u1203282'}
233 )  {'name': 'taskhostw.exe', 'pid': 15808, 'username': 'QAMR-ACCOUNTS\\u1203282'}
234 )  {'name': 'shtctky.exe', 'pid': 15908, 'username': None}
235 )  {'name': 'PowerMgr.exe', 'pid': 15916, 'username': 'QAMR-ACCOUNTS\\u1203282'}
236 )  {'name': 'msedge.exe', 'pid': 15924, 'username': 'QAMR-ACCOUNTS\\u1203282'}
