~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 15:01:06 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
217{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'sihost.exe', 'pid': 15572}
218{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 15592}
219{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15628}
220{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15636}
221{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15680}
222{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 15756}
223{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'taskhostw.exe', 'pid': 15808}
224{'status': 'running', 'username': None, 'name': 'shtctky.exe', 'pid': 15908}
225{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PowerMgr.exe', 'pid': 15916}
226{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'PanGPA.exe', 'pid': 16096}
227{'status': 'running', 'username': None, 'name': 'Lenovo.Modern.ImController.exe', 'pid': 16196}
228{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AppVStreamingUX.exe', 'pid': 16212}
229{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 16224}
230{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 16272}
231{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 16428}
232{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 16440}
233{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 16472}
234{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCustomerAttendedAppUi.exe', 'pid': 16588}
235{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 17036}
236{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RtkAudUService64.exe', 'pid': 17140}
237{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 17340}
238{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 17348}
239{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtusm.exe', 'pid': 17416}
