~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:48:42 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
280{'name': 'msedgewebview2.exe', 'pid': 20828, 'username': 'QAMR-ACCOUNTS\\u1203282'}
281{'name': 'UserOOBEBroker.exe', 'pid': 20848, 'username': 'QAMR-ACCOUNTS\\u1203282'}
282{'name': 'chrome.exe', 'pid': 21292, 'username': 'QAMR-ACCOUNTS\\u1203282'}
283{'name': 'msedge.exe', 'pid': 21300, 'username': 'QAMR-ACCOUNTS\\u1203282'}
284{'name': 'AppProvisioningPlugin.exe', 'pid': 21312, 'username': None}
285{'name': 'nxtbsm.exe', 'pid': 21404, 'username': None}
286{'name': 'nxtcod.exe', 'pid': 21428, 'username': None}
287{'name': 'chrome.exe', 'pid': 21552, 'username': 'QAMR-ACCOUNTS\\u1203282'}
288{'name': 'AMDRSServ.exe', 'pid': 21624, 'username': 'QAMR-ACCOUNTS\\u1203282'}
289{'name': 'chrome.exe', 'pid': 21644, 'username': 'QAMR-ACCOUNTS\\u1203282'}
290{'name': 'chrome.exe', 'pid': 22120, 'username': 'QAMR-ACCOUNTS\\u1203282'}
291{'name': 'Notepad.exe', 'pid': 22368, 'username': 'QAMR-ACCOUNTS\\u1203282'}
292{'name': 'cncmd.exe', 'pid': 22444, 'username': 'QAMR-ACCOUNTS\\u1203282'}
293{'name': 'svchost.exe', 'pid': 22644, 'username': None}
294{'name': 'concentr.exe', 'pid': 22664, 'username': 'QAMR-ACCOUNTS\\u1203282'}
295{'name': 'wfcrun32.exe', 'pid': 22720, 'username': 'QAMR-ACCOUNTS\\u1203282'}
296{'name': 'msedgewebview2.exe', 'pid': 22788, 'username': 'QAMR-ACCOUNTS\\u1203282'}
297{'name': 'msedgewebview2.exe', 'pid': 22824, 'username': 'QAMR-ACCOUNTS\\u1203282'}
298{'name': 'svchost.exe', 'pid': 22908, 'username': 'QAMR-ACCOUNTS\\u1203282'}
299{'name': 'Code.exe', 'pid': 22956, 'username': 'QAMR-ACCOUNTS\\u1203282'}
300{'name': 'svchost.exe', 'pid': 23076, 'username': None}
301{'name': 'chrome.exe', 'pid': 23092, 'username': 'QAMR-ACCOUNTS\\u1203282'}
302{'name': 'RdrCEF.exe', 'pid': 23188, 'username': 'QAMR-ACCOUNTS\\u1203282'}
303{'name': 'ONENOTE.EXE', 'pid': 23328, 'username': 'QAMR-ACCOUNTS\\u1203282'}
304{'name': 'msedgewebview2.exe', 'pid': 23360, 'username': 'QAMR-ACCOUNTS\\u1203282'}
305{'name': 'chrome.exe', 'pid': 23532, 'username': 'QAMR-ACCOUNTS\\u1203282'}
306{'name': 'chrome.exe', 'pid': 23704, 'username': 'QAMR-ACCOUNTS\\u1203282'}
307{'name': 'msedgewebview2.exe', 'pid': 24312, 'username': 'QAMR-ACCOUNTS\\u1203282'}
308{'name': 'RadeonSoftware.exe', 'pid': 24476, 'username': 'QAMR-ACCOUNTS\\u1203282'}
309{'name': 'svchost.exe', 'pid': 25032, 'username': None}
310{'name': 'svchost.exe', 'pid': 25152, 'username': None}
311{'name': 'Microsoft.Management.Services.IntuneWindowsAgent.exe', 'pid': 25300, 'username': None}
312{'name': 'AnalyticsSrv.exe', 'pid': 25464, 'username': 'QAMR-ACCOUNTS\\u1203282'}
313{'name': 'amdow.exe', 'pid': 25472, 'username': 'QAMR-ACCOUNTS\\u1203282'}
314{'name': 'AMDRSSrcExt.exe', 'pid': 25480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
315{'name': 'chrome.exe', 'pid': 25620, 'username': 'QAMR-ACCOUNTS\\u1203282'}
